ctgov,dist,parameter1,parameter2,r
NCT00152984,gengamma,sigma,sigma,1.397e-02
NCT00152984,gengamma,sigma,Q,2.370e-02
NCT00152984,gengamma,Q,mu,2.459e-01
NCT00152984,gengamma,Q,sigma,2.370e-02
NCT00152984,gengamma,Q,Q,4.425e-02
NCT00153023,gengamma,mu,mu,9.201e-02
NCT00153023,gengamma,mu,sigma,-1.588e-02
NCT00153023,gengamma,mu,Q,7.480e-02
NCT00153023,gengamma,sigma,mu,-1.588e-02
NCT00153023,gengamma,sigma,sigma,4.461e-02
NCT00153023,gengamma,sigma,Q,-1.015e-01
NCT00153023,gengamma,Q,mu,7.480e-02
NCT00153023,gengamma,Q,sigma,-1.015e-01
NCT00153023,gengamma,Q,Q,2.542e-01
NCT00153088,gengamma,mu,mu,1.031e-01
NCT00153088,gengamma,mu,sigma,8.357e-02
NCT00153088,gengamma,mu,Q,-9.669e-02
NCT00153088,gengamma,sigma,mu,8.357e-02
NCT00153088,gengamma,sigma,sigma,1.818e-01
NCT00153088,gengamma,sigma,Q,-2.772e-01
NCT00153088,gengamma,Q,mu,-9.669e-02
NCT00153088,gengamma,Q,sigma,-2.772e-01
NCT00153088,gengamma,Q,Q,4.444e-01
NCT00168831,gengamma,mu,mu,8.337e-02
NCT00168831,gengamma,mu,sigma,-2.433e-02
NCT00168831,gengamma,mu,Q,9.553e-02
NCT00168831,gengamma,sigma,mu,-2.433e-02
NCT00168831,gengamma,sigma,sigma,2.149e-02
NCT00168831,gengamma,sigma,Q,-5.815e-02
NCT00168831,gengamma,Q,mu,9.553e-02
NCT00168831,gengamma,Q,sigma,-5.815e-02
NCT00168831,gengamma,Q,Q,1.784e-01
NCT00168844,gengamma,mu,mu,1.011e-01
NCT00168844,gengamma,mu,sigma,-2.802e-02
NCT00168844,gengamma,mu,Q,1.102e-01
NCT00168844,gengamma,sigma,mu,-2.802e-02
NCT00168844,gengamma,sigma,sigma,3.527e-02
NCT00168844,gengamma,sigma,Q,-9.049e-02
NCT00168844,gengamma,Q,mu,1.102e-01
NCT00168844,gengamma,Q,sigma,-9.049e-02
NCT00168844,gengamma,Q,Q,2.564e-01
NCT00168857,gengamma,mu,mu,1.566e-01
NCT00168857,gengamma,mu,sigma,-7.633e-01
NCT00168857,gengamma,mu,Q,1.700e+00
NCT00168857,gengamma,sigma,mu,-7.633e-01
NCT00168857,gengamma,sigma,sigma,4.663e+00
NCT00168857,gengamma,sigma,Q,-1.023e+01
NCT00168857,gengamma,Q,mu,1.700e+00
NCT00168857,gengamma,Q,sigma,-1.023e+01
NCT00168857,gengamma,Q,Q,2.246e+01
NCT00239421,gengamma,mu,mu,3.614e-01
NCT00239421,gengamma,mu,sigma,7.898e-02
NCT00239421,gengamma,mu,Q,5.767e-02
NCT00239421,gengamma,sigma,mu,7.898e-02
NCT00239421,gengamma,sigma,sigma,1.946e-02
NCT00239421,gengamma,sigma,Q,1.392e-02
NCT00239421,gengamma,Q,mu,5.767e-02
NCT00239421,gengamma,Q,sigma,1.392e-02
NCT00239421,gengamma,Q,Q,9.984e-03
NCT00274014,gengamma,mu,mu,4.340e-02
NCT00274014,gengamma,mu,sigma,-1.660e-02
NCT00274014,gengamma,mu,Q,6.114e-02
NCT00274014,gengamma,sigma,mu,-1.660e-02
NCT00274014,gengamma,sigma,sigma,2.484e-02
NCT00274014,gengamma,sigma,Q,-6.112e-02
NCT00274014,gengamma,Q,mu,6.114e-02
NCT00274014,gengamma,Q,sigma,-6.112e-02
NCT00274014,gengamma,Q,Q,1.680e-01
NCT00274053,gengamma,mu,mu,1.440e-01
NCT00274053,gengamma,mu,sigma,-3.728e-02
NCT00274053,gengamma,mu,Q,1.789e-01
NCT00274053,gengamma,sigma,mu,-3.728e-02
NCT00274053,gengamma,sigma,sigma,4.012e-02
NCT00274053,gengamma,sigma,Q,-1.160e-01
NCT00274053,gengamma,Q,mu,1.789e-01
NCT00274053,gengamma,Q,sigma,-1.160e-01
NCT00274053,gengamma,Q,Q,3.928e-01
NCT00274079,gengamma,mu,mu,1.902e+00
NCT00274079,gengamma,mu,sigma,-2.054e-01
NCT00274079,gengamma,mu,Q,2.048e+00
NCT00274079,gengamma,sigma,mu,-2.054e-01
NCT00274079,gengamma,sigma,sigma,4.772e-02
NCT00274079,gengamma,sigma,Q,-2.958e-01
NCT00274079,gengamma,Q,mu,2.048e+00
NCT00274079,gengamma,Q,sigma,-2.958e-01
NCT00274079,gengamma,Q,Q,2.453e+00
NCT00274547,gengamma,mu,mu,1.507e-02
NCT00274547,gengamma,mu,sigma,5.096e-03
NCT00274547,gengamma,mu,Q,4.154e-04
NCT00274547,gengamma,sigma,mu,5.096e-03
NCT00274547,gengamma,sigma,sigma,2.329e-03
NCT00274547,gengamma,sigma,Q,3.505e-04
NCT00274547,gengamma,Q,mu,4.154e-04
NCT00274547,gengamma,Q,sigma,3.505e-04
NCT00274547,gengamma,Q,Q,8.425e-05
NCT00274560,gengamma,mu,mu,3.332e-01
NCT00274560,gengamma,mu,sigma,-1.767e+00
NCT00274560,gengamma,mu,Q,3.554e+00
NCT00274560,gengamma,sigma,mu,-1.767e+00
NCT00274560,gengamma,sigma,sigma,1.776e+01
NCT00274560,gengamma,sigma,Q,-3.487e+01
NCT00274560,gengamma,Q,mu,3.554e+00
NCT00274560,gengamma,Q,sigma,-3.487e+01
NCT00274560,gengamma,Q,Q,6.851e+01
NCT00274573,gengamma,mu,mu,2.374e-01
NCT00274573,gengamma,mu,sigma,-2.495e-02
NCT00274573,gengamma,mu,Q,2.394e-01
NCT00274573,gengamma,sigma,mu,-2.495e-02
NCT00274573,gengamma,sigma,sigma,6.741e-03
NCT00274573,gengamma,sigma,Q,-3.586e-02
NCT00274573,gengamma,Q,mu,2.394e-01
NCT00274573,gengamma,Q,sigma,-3.586e-02
NCT00274573,gengamma,Q,Q,2.751e-01
NCT00274599,gengamma,mu,mu,2.132e-01
NCT00274599,gengamma,mu,sigma,1.556e-01
NCT00274599,gengamma,mu,Q,-1.995e-01
NCT00274599,gengamma,sigma,mu,1.556e-01
NCT00274599,gengamma,sigma,sigma,1.863e-01
NCT00274599,gengamma,sigma,Q,-2.821e-01
NCT00274599,gengamma,Q,mu,-1.995e-01
NCT00274599,gengamma,Q,sigma,-2.821e-01
NCT00274599,gengamma,Q,Q,4.483e-01
NCT00274612,gengamma,mu,mu,2.256e-01
NCT00274612,gengamma,mu,sigma,1.960e-01
NCT00274612,gengamma,mu,Q,-2.128e-01
NCT00274612,gengamma,sigma,mu,1.960e-01
NCT00274612,gengamma,sigma,sigma,2.213e-01
NCT00274612,gengamma,sigma,Q,-2.678e-01
NCT00274612,gengamma,Q,mu,-2.128e-01
NCT00274612,gengamma,Q,sigma,-2.678e-01
NCT00274612,gengamma,Q,Q,3.400e-01
NCT00277264,gengamma,mu,mu,3.263e-01
NCT00277264,gengamma,mu,sigma,-2.951e-02
NCT00277264,gengamma,mu,Q,2.807e-01
NCT00277264,gengamma,sigma,mu,-2.951e-02
NCT00277264,gengamma,sigma,sigma,7.682e-03
NCT00277264,gengamma,sigma,Q,-3.711e-02
NCT00277264,gengamma,Q,mu,2.807e-01
NCT00277264,gengamma,Q,sigma,-3.711e-02
NCT00277264,gengamma,Q,Q,2.776e-01
NCT00321854,gengamma,mu,mu,6.695e-02
NCT00321854,gengamma,mu,sigma,-2.130e-02
NCT00321854,gengamma,mu,Q,9.362e-02
NCT00321854,gengamma,sigma,mu,-2.130e-02
NCT00321854,gengamma,sigma,sigma,2.651e-02
NCT00321854,gengamma,sigma,Q,-7.047e-02
NCT00321854,gengamma,Q,mu,9.362e-02
NCT00321854,gengamma,Q,sigma,-7.047e-02
NCT00321854,gengamma,Q,Q,2.246e-01
NCT00384930,gengamma,mu,mu,7.047e-02
NCT00384930,gengamma,mu,sigma,-2.328e-02
NCT00384930,gengamma,mu,Q,1.028e-01
NCT00384930,gengamma,sigma,mu,-2.328e-02
NCT00384930,gengamma,sigma,sigma,5.959e-02
NCT00384930,gengamma,sigma,Q,-1.569e-01
NCT00384930,gengamma,Q,mu,1.028e-01
NCT00384930,gengamma,Q,sigma,-1.569e-01
NCT00384930,gengamma,Q,Q,4.469e-01
NCT00402233,gengamma,mu,mu,9.016e-01
NCT00402233,gengamma,mu,sigma,8.136e-02
NCT00402233,gengamma,mu,Q,1.281e+00
NCT00402233,gengamma,sigma,mu,8.136e-02
NCT00402233,gengamma,sigma,sigma,1.906e-02
NCT00402233,gengamma,sigma,Q,7.395e-02
NCT00402233,gengamma,Q,mu,1.281e+00
NCT00402233,gengamma,Q,sigma,7.395e-02
NCT00402233,gengamma,Q,Q,2.118e+00
NCT00466167,gengamma,mu,mu,1.533e-01
NCT00466167,gengamma,mu,sigma,4.148e-02
NCT00466167,gengamma,mu,Q,2.010e-03
NCT00466167,gengamma,sigma,mu,4.148e-02
NCT00466167,gengamma,sigma,sigma,1.346e-02
NCT00466167,gengamma,sigma,Q,1.465e-03
NCT00466167,gengamma,Q,mu,2.010e-03
NCT00466167,gengamma,Q,sigma,1.465e-03
NCT00466167,gengamma,Q,Q,4.060e-04
NCT00472199,gengamma,mu,mu,3.884e-01
NCT00472199,gengamma,mu,sigma,-5.519e-03
NCT00472199,gengamma,mu,Q,3.389e-01
NCT00472199,gengamma,sigma,mu,-5.519e-03
NCT00472199,gengamma,sigma,sigma,7.090e-03
NCT00472199,gengamma,sigma,Q,-1.934e-02
NCT00472199,gengamma,Q,mu,3.389e-01
NCT00472199,gengamma,Q,sigma,-1.934e-02
NCT00472199,gengamma,Q,Q,3.524e-01
NCT00479401,gengamma,mu,mu,3.547e-01
NCT00479401,gengamma,mu,sigma,-9.255e-02
NCT00479401,gengamma,mu,Q,3.829e-01
NCT00479401,gengamma,sigma,mu,-9.255e-02
NCT00479401,gengamma,sigma,sigma,7.023e-02
NCT00479401,gengamma,sigma,Q,-2.071e-01
NCT00479401,gengamma,Q,mu,3.829e-01
NCT00479401,gengamma,Q,sigma,-2.071e-01
NCT00479401,gengamma,Q,Q,6.743e-01
NCT00525512,gengamma,mu,mu,5.292e-02
NCT00525512,gengamma,mu,sigma,-1.281e-02
NCT00525512,gengamma,mu,Q,4.738e-02
NCT00525512,gengamma,sigma,mu,-1.281e-02
NCT00525512,gengamma,sigma,sigma,3.665e-02
NCT00525512,gengamma,sigma,Q,-6.981e-02
NCT00525512,gengamma,Q,mu,4.738e-02
NCT00525512,gengamma,Q,sigma,-6.981e-02
NCT00525512,gengamma,Q,Q,1.512e-01
NCT00563381,gengamma,mu,mu,2.451e-02
NCT00563381,gengamma,mu,sigma,-5.807e-03
NCT00563381,gengamma,mu,Q,2.651e-02
NCT00563381,gengamma,sigma,mu,-5.807e-03
NCT00563381,gengamma,sigma,sigma,4.539e-03
NCT00563381,gengamma,sigma,Q,-1.385e-02
NCT00563381,gengamma,Q,mu,2.651e-02
NCT00563381,gengamma,Q,sigma,-1.385e-02
NCT00563381,gengamma,Q,Q,4.770e-02
NCT00601250,gengamma,mu,mu,2.005e-01
NCT00601250,gengamma,mu,sigma,4.688e-02
NCT00601250,gengamma,mu,Q,2.078e-02
NCT00601250,gengamma,sigma,mu,4.688e-02
NCT00601250,gengamma,sigma,sigma,1.262e-02
NCT00601250,gengamma,sigma,Q,5.755e-03
NCT00601250,gengamma,Q,mu,2.078e-02
NCT00601250,gengamma,Q,sigma,5.755e-03
NCT00601250,gengamma,Q,Q,2.637e-03
NCT00602472,gengamma,mu,mu,7.029e-01
NCT00602472,gengamma,mu,sigma,5.628e-01
NCT00602472,gengamma,mu,Q,-6.074e-01
NCT00602472,gengamma,sigma,mu,5.628e-01
NCT00602472,gengamma,sigma,sigma,4.986e-01
NCT00602472,gengamma,sigma,Q,-5.625e-01
NCT00602472,gengamma,Q,mu,-6.074e-01
NCT00602472,gengamma,Q,sigma,-5.625e-01
NCT00602472,gengamma,Q,Q,6.493e-01
NCT00622284,gengamma,mu,mu,2.308e-02
NCT00622284,gengamma,mu,sigma,-2.116e-03
NCT00622284,gengamma,mu,Q,1.505e-02
NCT00622284,gengamma,sigma,mu,-2.116e-03
NCT00622284,gengamma,sigma,sigma,2.207e-02
NCT00622284,gengamma,sigma,Q,-4.229e-02
NCT00622284,gengamma,Q,mu,1.505e-02
NCT00622284,gengamma,Q,sigma,-4.229e-02
NCT00622284,gengamma,Q,Q,8.901e-02
NCT00641043,gengamma,mu,mu,1.575e+00
NCT00641043,gengamma,mu,sigma,-1.170e+01
NCT00641043,gengamma,mu,Q,2.313e+01
NCT00641043,gengamma,sigma,mu,-1.170e+01
NCT00641043,gengamma,sigma,sigma,1.169e+02
NCT00641043,gengamma,sigma,Q,-2.290e+02
NCT00641043,gengamma,Q,mu,2.313e+01
NCT00641043,gengamma,Q,sigma,-2.290e+02
NCT00641043,gengamma,Q,Q,4.490e+02
NCT00654381,gengamma,mu,mu,2.192e-01
NCT00654381,gengamma,mu,sigma,4.571e-01
NCT00654381,gengamma,mu,Q,8.298e+00
NCT00654381,gengamma,sigma,mu,4.571e-01
NCT00654381,gengamma,sigma,sigma,9.667e-01
NCT00654381,gengamma,sigma,Q,1.724e+01
NCT00654381,gengamma,Q,mu,8.298e+00
NCT00654381,gengamma,Q,sigma,1.724e+01
NCT00654381,gengamma,Q,Q,3.177e+02
NCT00734474,gengamma,mu,mu,9.631e-03
NCT00734474,gengamma,mu,sigma,-6.361e-03
NCT00734474,gengamma,mu,Q,1.557e-02
NCT00734474,gengamma,sigma,mu,-6.361e-03
NCT00734474,gengamma,sigma,sigma,2.097e-02
NCT00734474,gengamma,sigma,Q,-3.603e-02
NCT00734474,gengamma,Q,mu,1.557e-02
NCT00734474,gengamma,Q,sigma,-3.603e-02
NCT00734474,gengamma,Q,Q,6.762e-02
NCT00740051,gengamma,mu,mu,9.477e-02
NCT00740051,gengamma,mu,sigma,-1.499e-02
NCT00740051,gengamma,mu,Q,9.536e-02
NCT00740051,gengamma,sigma,mu,-1.499e-02
NCT00740051,gengamma,sigma,sigma,1.211e-01
NCT00740051,gengamma,sigma,Q,-2.478e-01
NCT00740051,gengamma,Q,mu,9.536e-02
NCT00740051,gengamma,Q,sigma,-2.478e-01
NCT00740051,gengamma,Q,Q,5.722e-01
NCT00772538,gengamma,mu,mu,4.238e-01
NCT00772538,gengamma,mu,sigma,8.815e-01
NCT00772538,gengamma,mu,Q,-1.302e+00
NCT00772538,gengamma,sigma,mu,8.815e-01
NCT00772538,gengamma,sigma,sigma,5.890e+00
NCT00772538,gengamma,sigma,Q,-9.473e+00
NCT00772538,gengamma,Q,mu,-1.302e+00
NCT00772538,gengamma,Q,sigma,-9.473e+00
NCT00772538,gengamma,Q,Q,1.529e+01
NCT00776984,gengamma,mu,mu,1.283e-01
NCT00776984,gengamma,mu,sigma,6.086e-02
NCT00776984,gengamma,mu,Q,-5.014e-02
NCT00776984,gengamma,sigma,mu,6.086e-02
NCT00776984,gengamma,sigma,sigma,2.516e-01
NCT00776984,gengamma,sigma,Q,-5.145e-01
NCT00776984,gengamma,Q,mu,-5.014e-02
NCT00776984,gengamma,Q,sigma,-5.145e-01
NCT00776984,gengamma,Q,Q,1.113e+00
NCT00782210,gengamma,mu,mu,8.275e-02
NCT00782210,gengamma,mu,sigma,4.603e-02
NCT00782210,gengamma,mu,Q,-4.587e-02
NCT00782210,gengamma,sigma,mu,4.603e-02
NCT00782210,gengamma,sigma,sigma,1.169e-01
NCT00782210,gengamma,sigma,Q,-1.840e-01
NCT00782210,gengamma,Q,mu,-4.587e-02
NCT00782210,gengamma,Q,sigma,-1.840e-01
NCT00782210,gengamma,Q,Q,3.065e-01
NCT00782509,gengamma,mu,mu,8.534e-02
NCT00782509,gengamma,mu,sigma,2.384e-02
NCT00782509,gengamma,mu,Q,3.886e-03
NCT00782509,gengamma,sigma,mu,2.384e-02
NCT00782509,gengamma,sigma,sigma,8.288e-03
NCT00782509,gengamma,sigma,Q,1.837e-03
NCT00782509,gengamma,Q,mu,3.886e-03
NCT00782509,gengamma,Q,sigma,1.837e-03
NCT00782509,gengamma,Q,Q,5.245e-04
NCT00793624,gengamma,mu,mu,8.739e-02
NCT00793624,gengamma,mu,sigma,-1.934e-02
NCT00793624,gengamma,mu,Q,8.394e-02
NCT00793624,gengamma,sigma,mu,-1.934e-02
NCT00793624,gengamma,sigma,sigma,4.315e-02
NCT00793624,gengamma,sigma,Q,-1.022e-01
NCT00793624,gengamma,Q,mu,8.394e-02
NCT00793624,gengamma,Q,sigma,-1.022e-01
NCT00793624,gengamma,Q,Q,2.663e-01
NCT00798161,gengamma,mu,mu,1.283e-01
NCT00798161,gengamma,mu,sigma,-2.294e-03
NCT00798161,gengamma,mu,Q,6.768e-02
NCT00798161,gengamma,sigma,mu,-2.294e-03
NCT00798161,gengamma,sigma,sigma,1.119e-01
NCT00798161,gengamma,sigma,Q,-2.553e-01
NCT00798161,gengamma,Q,mu,6.768e-02
NCT00798161,gengamma,Q,sigma,-2.553e-01
NCT00798161,gengamma,Q,Q,6.199e-01
NCT00800683,gengamma,mu,mu,1.430e-01
NCT00800683,gengamma,mu,sigma,2.950e-02
NCT00800683,gengamma,mu,Q,2.391e-02
NCT00800683,gengamma,sigma,mu,2.950e-02
NCT00800683,gengamma,sigma,sigma,2.115e-01
NCT00800683,gengamma,sigma,Q,-3.283e-01
NCT00800683,gengamma,Q,mu,2.391e-02
NCT00800683,gengamma,Q,sigma,-3.283e-01
NCT00800683,gengamma,Q,Q,5.708e-01
NCT00848081,gengamma,mu,mu,1.307e+00
NCT00848081,gengamma,mu,sigma,-9.452e-02
NCT00848081,gengamma,mu,Q,1.886e+00
NCT00848081,gengamma,sigma,mu,-9.452e-02
NCT00848081,gengamma,sigma,sigma,3.190e-02
NCT00848081,gengamma,sigma,Q,-2.164e-01
NCT00848081,gengamma,Q,mu,1.886e+00
NCT00848081,gengamma,Q,sigma,-2.164e-01
NCT00848081,gengamma,Q,Q,3.029e+00
NCT00855582,gengamma,mu,mu,8.521e-02
NCT00855582,gengamma,mu,sigma,2.757e-02
NCT00855582,gengamma,mu,Q,7.969e-03
NCT00855582,gengamma,sigma,mu,2.757e-02
NCT00855582,gengamma,sigma,sigma,1.075e-02
NCT00855582,gengamma,sigma,Q,3.439e-03
NCT00855582,gengamma,Q,mu,7.969e-03
NCT00855582,gengamma,Q,sigma,3.439e-03
NCT00855582,gengamma,Q,Q,1.151e-03
NCT00861757,gengamma,mu,mu,5.525e-01
NCT00861757,gengamma,mu,sigma,1.095e-01
NCT00861757,gengamma,mu,Q,1.532e+00
NCT00861757,gengamma,sigma,mu,1.095e-01
NCT00861757,gengamma,sigma,sigma,2.941e-02
NCT00861757,gengamma,sigma,Q,2.666e-01
NCT00861757,gengamma,Q,mu,1.532e+00
NCT00861757,gengamma,Q,sigma,2.666e-01
NCT00861757,gengamma,Q,Q,4.663e+00
NCT00915772,gengamma,mu,mu,2.861e-02
NCT00915772,gengamma,mu,sigma,1.109e-02
NCT00915772,gengamma,mu,Q,4.751e-03
NCT00915772,gengamma,sigma,mu,1.109e-02
NCT00915772,gengamma,sigma,sigma,5.934e-03
NCT00915772,gengamma,sigma,Q,2.695e-03
NCT00915772,gengamma,Q,mu,4.751e-03
NCT00915772,gengamma,Q,sigma,2.695e-03
NCT00915772,gengamma,Q,Q,1.234e-03
NCT00926289,gengamma,mu,mu,1.839e+00
NCT00926289,gengamma,mu,sigma,-4.767e-02
NCT00926289,gengamma,mu,Q,2.203e+00
NCT00926289,gengamma,sigma,mu,-4.767e-02
NCT00926289,gengamma,sigma,sigma,1.452e-02
NCT00926289,gengamma,sigma,Q,-1.129e-01
NCT00926289,gengamma,Q,mu,2.203e+00
NCT00926289,gengamma,Q,sigma,-1.129e-01
NCT00926289,gengamma,Q,Q,2.913e+00
NCT00954447,gengamma,mu,mu,6.645e-02
NCT00954447,gengamma,mu,sigma,2.195e-02
NCT00954447,gengamma,mu,Q,-1.471e-02
NCT00954447,gengamma,sigma,mu,2.195e-02
NCT00954447,gengamma,sigma,sigma,5.443e-02
NCT00954447,gengamma,sigma,Q,-1.026e-01
NCT00954447,gengamma,Q,mu,-1.471e-02
NCT00954447,gengamma,Q,sigma,-1.026e-01
NCT00954447,gengamma,Q,Q,2.096e-01
NCT00970632,gengamma,mu,mu,6.575e-02
NCT00970632,gengamma,mu,sigma,2.696e-02
NCT00970632,gengamma,mu,Q,1.000e-02
NCT00970632,gengamma,sigma,mu,2.696e-02
NCT00970632,gengamma,sigma,sigma,1.328e-02
NCT00970632,gengamma,sigma,Q,5.158e-03
NCT00970632,gengamma,Q,mu,1.000e-02
NCT00970632,gengamma,Q,sigma,5.158e-03
NCT00970632,gengamma,Q,Q,2.022e-03
NCT00975195,gengamma,mu,mu,1.084e-02
NCT00975195,gengamma,mu,sigma,3.790e-03
NCT00975195,gengamma,mu,Q,8.362e-04
NCT00975195,gengamma,sigma,mu,3.790e-03
NCT00975195,gengamma,sigma,sigma,1.742e-03
NCT00975195,gengamma,sigma,Q,4.755e-04
NCT00975195,gengamma,Q,mu,8.362e-04
NCT00975195,gengamma,Q,sigma,4.755e-04
NCT00975195,gengamma,Q,Q,1.450e-04
NCT00996658,gengamma,mu,mu,1.801e-01
NCT00996658,gengamma,mu,sigma,6.688e-02
NCT00996658,gengamma,mu,Q,1.069e-02
NCT00996658,gengamma,sigma,mu,6.688e-02
NCT00996658,gengamma,sigma,sigma,2.969e-02
NCT00996658,gengamma,sigma,Q,5.498e-03
NCT00996658,gengamma,Q,mu,1.069e-02
NCT00996658,gengamma,Q,sigma,5.498e-03
NCT00996658,gengamma,Q,Q,1.115e-03
NCT01064687,gengamma,mu,mu,7.480e-02
NCT01064687,gengamma,mu,sigma,2.184e-02
NCT01064687,gengamma,mu,Q,5.229e-03
NCT01064687,gengamma,sigma,mu,2.184e-02
NCT01064687,gengamma,sigma,sigma,7.546e-03
NCT01064687,gengamma,sigma,Q,2.071e-03
NCT01064687,gengamma,Q,mu,5.229e-03
NCT01064687,gengamma,Q,sigma,2.071e-03
NCT01064687,gengamma,Q,Q,6.192e-04
